name,description,path,currency_base,currency_profit,digits,point,spread,trade_contract_size,volume_min,volume_max,swap_long,swap_short,margin_initial,visible
BRNUSD,Oil - Brent Crude,Commodities\Spot Commodities\BRNUSD,USD,USD,3,0.001,20,1000.0,0.1,5.0,-20.74,-44.55,0.0,True
NGCUSD,Natural Gas vs  US Dollar,Commodities\Spot Commodities\NGCUSD,USD,USD,4,0.0001,0,10000.0,1.0,5.0,-38.43,-80.79,0.0,False
WTIUSD,Oil - US Crude,Commodities\Spot Commodities\WTIUSD,USD,USD,3,0.001,0,1000.0,0.1,5.0,-1.62,-18.89,0.0,False
CUCUSD,Copper(Chicago) vs  US Dollar,Metals\Spot Metals\CUCUSD,USD,USD,5,1e-05,2,25000.0,0.01,5.0,-39.0,-12.0,0.0,False
XPDUSD,Palladium vs US Dollar / Spot,Metals\Spot Metals\XPDUSD,USD,USD,2,0.01,2,100.0,0.01,5.0,-22.93,-7.08,0.0,False
XPTUSD,Platinum vs US Dollar / Spot,Metals\Spot Metals\XPTUSD,USD,USD,2,0.01,0,100.0,0.01,5.0,-21.49,-5.7,0.0,False
ADAUSD!,Cardano vs US Dollar,CryptoCcy\Crypto Majors!\ADAUSD!,ADA,USD,5,1e-05,0,1.0,0.01,10000.0,-100.61,-100.61,0.0,False
ALGUSD!,Algorand vs US Dollar,CryptoCcy\Crypto Majors!\ALGUSD!,ALG,USD,4,0.0001,0,1.0,0.01,10000.0,-24.11,-24.11,0.0,False
ATMUSD!,Cosmos VS US Dollar,CryptoCcy\Crypto Majors!\ATMUSD!,ATM,USD,3,0.001,0,1.0,0.01,1000.0,-35.67,-35.67,0.0,False
AVAUSD!,Avalanche vs US Dollar,CryptoCcy\Crypto Majors!\AVAUSD!,AVA,USD,2,0.01,0,1.0,0.01,1000.0,-35.2,-35.2,0.0,False
BATUSD!,Basic Attention Token vs US Dollar,CryptoCcy\Crypto Majors!\BATUSD!,BAT,USD,5,1e-05,0,1.0,0.01,10000.0,-43.85,-43.85,0.0,False
